0	parameters	time (sec)	CPU memory (MB)	id	true_motif	find_motif	average_similarity
66	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod zoops <input file> -oc <output path>	5325	362	meme_66	0	9	0.4408520721197086
67	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod zoops <input file> -oc <output path>	5685	344	meme_67	0	10	0.3036361697386369
68	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod zoops <input file> -oc <output path>	5809	361	meme_68	0	10	0.35322892961969526
69	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 0 -objfun ce -mod zoops <input file> -oc <output path>	5422	422	meme_69	0	10	0.33619430855117755
70	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 1 -objfun ce -mod zoops <input file> -oc <output path>	5358	425	meme_70	0	10	0.15338669354176088
71	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 2 -objfun ce -mod zoops <input file> -oc <output path>	4801	425	meme_71	0	10	0.2964688446167352
72	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -cefrac 0.25 -markov_order 3 -objfun ce -mod zoops <input file> -oc <output path>	5073	422	meme_72	0	10	0.37192205259437505
73	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun classic -mod anr <input file> -oc <output path>	2790	226	meme_73	1	7	0.4144898146170507
74	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun classic -mod anr <input file> -oc <output path>	2696	230	meme_74	1	7	0.47742087752668966
75	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun classic -mod anr <input file> -oc <output path>	2729	232	meme_75	0	9	0.33304413591762166
